customer_id,signup_date,gender,age,city,state,acquisition_channel,acquisition_campaign
CUST000001,2025-08-09,Female,40,Ranchi,Jharkhand,Affiliate,IndependenceDay-Sale-2025
CUST000002,2024-10-03,Male,20,Patna,Bihar,Email Marketing,Diwali-Dhamaka-2024
CUST000003,2025-10-11,Female,36,Bangalore,Karnataka,Affiliate,Affiliate-Cashback-Sites
CUST000004,2025-05-12,Male,31,Mysuru,Karnataka,Email Marketing,EMail-Winback-Offer
CUST000005,2023-07-22,Male,51,Kolkata,West Bengal,Organic Search,Organic-Blog-SEO
CUST000006,2025-12-10,Male,37,Kanpur,Uttar Pradesh,Email Marketing,EMail-Winback-Offer
CUST000007,2025-07-29,Male,31,Lucknow,Uttar Pradesh,Organic Search,Organic-YouTube-Reviews
CUST000008,2025-08-18,Male,40,Ahmedabad,Gujarat,Direct,Direct-App
CUST000009,2023-09-15,Female,36,Bhopal,Madhya Pradesh,Paid Search,GoogleAds-Brand-Search
CUST000010,2024-10-10,Male,37,Mumbai,Maharashtra,Referral,Referral-FriendInvite
CUST000011,2024-07-19,Female,35,Ahmedabad,Gujarat,Marketplace Ads,Marketplace-Homepage-Banner
CUST000012,2025-11-13,Female,28,Kolkata,West Bengal,Paid Search,Bing-Search-Ads
CUST000013,2025-03-18,Male,28,Dehradun,Uttarakhand,Organic Search,Organic-Brand
CUST000014,2025-09-18,Male,37,Mumbai,Maharashtra,Email Marketing,EMail-Winback-Offer
CUST000015,2024-10-06,Female,26,Ahmedabad,Gujarat,Organic Search,Organic-Blog-SEO
CUST000016,2023-12-31,Other,33,Delhi,Delhi,Marketplace Ads,Marketplace-Sponsored-Listing
CUST000017,2024-12-24,Female,35,Nashik,Maharashtra,Organic Search,Organic-Brand
CUST000018,2023-05-11,Male,26,Amritsar,Punjab,Organic Search,Organic-Brand
CUST000019,2025-09-22,Female,35,Chandigarh,Chandigarh,Marketplace Ads,Marketplace-Homepage-Banner
CUST000020,2025-03-05,Male,31,Kanpur,Uttar Pradesh,Organic Search,Organic-Brand
CUST000021,2025-07-25,Male,28,Bhopal,Madhya Pradesh,Social Media Ads,Insta-Retargeting
CUST000022,2024-06-21,Male,38,Lucknow,Uttar Pradesh,Referral,Referral-FriendInvite
CUST000023,2025-12-06,Female,20,Chandigarh,Chandigarh,Social Media Ads,Insta-Reels-Ads
CUST000024,2025-10-28,Male,20,Chennai,Tamil Nadu,Referral,Referral-FriendInvite
CUST000025,2025-08-12,Female,31,Bangalore,Karnataka,Marketplace Ads,IndependenceDay-Sale-2025
CUST000026,2023-11-19,Male,22,Ahmedabad,Gujarat,Marketplace Ads,Diwali-Dhamaka-2023
CUST000027,2024-10-20,Male,42,Pune,Maharashtra,Affiliate,Diwali-Dhamaka-2024
CUST000028,2023-03-30,Female,28,Kolkata,West Bengal,Organic Search,Organic-Brand
CUST000029,2023-10-16,Female,19,Coimbatore,Tamil Nadu,Organic Search,Organic-Brand
CUST000030,2025-04-28,Male,30,Kolkata,West Bengal,Social Media Ads,FB-Prospecting
CUST000031,2025-07-08,Female,46,Bhopal,Madhya Pradesh,Paid Search,Bing-Search-Ads
CUST000032,2025-12-03,Male,24,Bangalore,Karnataka,Social Media Ads,Insta-Retargeting
CUST000033,2024-05-09,Male,26,Surat,Gujarat,Email Marketing,EMail-Newsletter-Signup
CUST000034,2024-07-18,Male,36,Chennai,Tamil Nadu,Paid Search,Bing-Search-Ads
CUST000035,2024-10-22,Female,43,Mumbai,Maharashtra,Email Marketing,EMail-Winback-Offer
CUST000036,2023-11-15,Male,23,Hyderabad,Telangana,Paid Search,Diwali-Dhamaka-2023
CUST000037,2023-09-18,Male,25,Kochi,Kerala,Paid Search,Bing-Search-Ads
CUST000038,2024-10-26,Female,18,Bangalore,Karnataka,Social Media Ads,Insta-Reels-Ads
CUST000039,2023-12-30,Male,31,Bangalore,Karnataka,Email Marketing,EMail-Newsletter-Signup
CUST000040,2025-04-14,Male,33,Surat,Gujarat,Social Media Ads,FB-Lookalike
CUST000041,2024-10-02,Male,39,Mumbai,Maharashtra,Social Media Ads,Diwali-Dhamaka-2024
CUST000042,2025-09-27,Female,35,Hyderabad,Telangana,Paid Search,Bing-Search-Ads
CUST000043,2025-05-15,Male,32,Ahmedabad,Gujarat,Social Media Ads,Insta-Reels-Ads
CUST000044,2024-04-20,Male,33,Mumbai,Maharashtra,Email Marketing,EMail-Winback-Offer
CUST000045,2025-09-27,Female,36,Chennai,Tamil Nadu,Marketplace Ads,Marketplace-Sponsored-Listing
CUST000046,2025-09-01,Male,21,Ahmedabad,Gujarat,Organic Search,Organic-Brand
CUST000047,2024-08-10,Male,33,Kanpur,Uttar Pradesh,Email Marketing,IndependenceDay-Sale-2024
CUST000048,2024-03-18,Female,18,Delhi,Delhi,Social Media Ads,FB-Lookalike
CUST000049,2025-04-27,Female,41,Jaipur,Rajasthan,Referral,Referral-FriendInvite
CUST000050,2023-10-03,Female,46,Varanasi,Uttar Pradesh,Paid Search,Diwali-Dhamaka-2023
CUST000051,2023-11-24,Male,26,Kochi,Kerala,Organic Search,Organic-Blog-SEO
CUST000052,2023-01-13,Male,34,Lucknow,Uttar Pradesh,Direct,Direct-Bookmark
CUST000053,2025-08-18,Male,38,Chennai,Tamil Nadu,Social Media Ads,FB-Lookalike
CUST000054,2025-04-09,Female,44,Delhi,Delhi,Organic Search,Organic-Blog-SEO
CUST000055,2025-05-20,Female,30,Bangalore,Karnataka,Organic Search,Organic-Blog-SEO
CUST000056,2025-08-14,Male,25,Kochi,Kerala,Direct,Direct-App
CUST000057,2024-10-16,Female,35,Delhi,Delhi,Social Media Ads,Diwali-Dhamaka-2024
CUST000058,2025-01-06,Male,42,Bangalore,Karnataka,Paid Search,GoogleAds-Generic-Search
CUST000059,2023-10-03,Female,32,Mumbai,Maharashtra,Organic Search,Organic-Blog-SEO
CUST000060,2023-08-24,Female,43,Indore,Madhya Pradesh,Social Media Ads,IndependenceDay-Sale-2023
CUST000061,2025-04-13,Male,40,Lucknow,Uttar Pradesh,Paid Search,GoogleAds-Generic-Search
CUST000062,2024-10-23,Male,37,Delhi,Delhi,Marketplace Ads,Diwali-Dhamaka-2024
CUST000063,2025-01-03,Male,31,Indore,Madhya Pradesh,Organic Search,Organic-YouTube-Reviews
CUST000064,2025-08-02,Male,29,Ahmedabad,Gujarat,Marketplace Ads,IndependenceDay-Sale-2025
CUST000065,2025-03-09,Male,46,Ahmedabad,Gujarat,Paid Search,GoogleAds-Brand-Search
CUST000066,2024-12-22,Male,24,Vizag,Andhra Pradesh,Email Marketing,EMail-Festive-Blast
CUST000067,2024-12-29,Female,35,Vizag,Andhra Pradesh,Direct,Direct-WordOfMouth
CUST000068,2024-04-09,Male,35,Kolkata,West Bengal,Affiliate,Affiliate-Cashback-Sites
CUST000069,2023-03-02,Male,34,Pune,Maharashtra,Affiliate,Affiliate-Cashback-Sites
CUST000070,2024-10-02,Male,22,Kochi,Kerala,Affiliate,Diwali-Dhamaka-2024
CUST000071,2023-12-11,Male,32,Delhi,Delhi,Organic Search,Organic-YouTube-Reviews
CUST000072,2024-08-30,Female,27,Chennai,Tamil Nadu,Paid Search,IndependenceDay-Sale-2024
CUST000073,2025-10-09,Female,39,Pune,Maharashtra,Affiliate,Diwali-Dhamaka-2025
CUST000074,2024-01-07,Male,33,Mumbai,Maharashtra,Direct,Direct-Bookmark
CUST000075,2023-04-30,Male,44,Mumbai,Maharashtra,Social Media Ads,Insta-Reels-Ads
CUST000076,2024-03-08,Female,43,Indore,Madhya Pradesh,Organic Search,Organic-Blog-SEO
CUST000077,2024-03-25,Male,28,Vadodara,Gujarat,Direct,Direct-App
CUST000078,2025-04-06,Male,43,Pune,Maharashtra,Organic Search,Organic-YouTube-Reviews
CUST000079,2024-12-26,Male,26,Pune,Maharashtra,Paid Search,Bing-Search-Ads
CUST000080,2025-08-16,Male,42,Chennai,Tamil Nadu,Organic Search,Organic-Blog-SEO
CUST000081,2025-04-08,Female,21,Pune,Maharashtra,Social Media Ads,FB-Lookalike
CUST000082,2024-08-28,Female,44,Amritsar,Punjab,Paid Search,IndependenceDay-Sale-2024
CUST000083,2025-09-10,Male,25,Lucknow,Uttar Pradesh,Organic Search,Organic-Blog-SEO
CUST000084,2023-10-27,Male,28,Bangalore,Karnataka,Social Media Ads,Diwali-Dhamaka-2023
CUST000085,2023-02-11,Female,30,Bangalore,Karnataka,Marketplace Ads,Marketplace-Sponsored-Listing
CUST000086,2023-07-12,Male,26,Lucknow,Uttar Pradesh,Direct,Direct-Bookmark
CUST000087,2025-06-08,Other,43,Hyderabad,Telangana,Organic Search,Organic-Brand
CUST000088,2024-10-18,Male,18,Surat,Gujarat,Paid Search,Diwali-Dhamaka-2024
CUST000089,2023-10-22,Female,35,Mumbai,Maharashtra,Direct,Direct-App
CUST000090,2024-11-11,Male,36,Bangalore,Karnataka,Marketplace Ads,Diwali-Dhamaka-2024
CUST000091,2023-10-14,Female,22,Chennai,Tamil Nadu,Organic Search,Organic-Brand
CUST000092,2025-05-11,Male,27,Kolkata,West Bengal,Social Media Ads,Insta-Reels-Ads
CUST000093,2024-10-08,Female,23,Kolkata,West Bengal,Marketplace Ads,Diwali-Dhamaka-2024
CUST000094,2024-08-03,Female,28,Jaipur,Rajasthan,Social Media Ads,Insta-Retargeting
