order_id,customer_id,order_date,order_status,payment_method,shipping_type,discount,shipping_cost,order_value
ORD0000001,CUST000001,2025-08-10,Delivered,Wallet,Standard,372.43,30.64,1758.21
ORD0000002,CUST000001,2025-10-27,Delivered,COD,Same Day,1375.48,192.82,3207.34
ORD0000003,CUST000001,2025-10-30,Delivered,Net Banking,Standard,1441.41,42.39,4675.98
ORD0000004,CUST000001,2025-11-22,Delivered,COD,Standard,551.53,0.0,1538.47
ORD0000005,CUST000004,2025-05-26,Delivered,Net Banking,Standard,388.73,31.75,1113.02
ORD0000006,CUST000004,2025-08-24,Delivered,Wallet,Standard,516.67,48.96,2047.29
ORD0000007,CUST000005,2023-08-26,Delivered,UPI,Standard,213.83,42.75,1473.92
ORD0000008,CUST000005,2024-01-31,Returned,COD,Standard,11438.38,39.58,48196.2
ORD0000009,CUST000005,2024-07-17,Delivered,UPI,Same Day,6.45,185.88,294.43
ORD0000010,CUST000005,2024-11-16,Delivered,Credit Card,Standard,3198.98,0.0,13486.02
ORD0000011,CUST000005,2025-02-05,Delivered,UPI,Express,710.76,0.0,3019.24
ORD0000012,CUST000005,2025-03-20,Returned,Wallet,Standard,1321.2,52.89,5616.69
ORD0000013,CUST000005,2025-03-31,Delivered,Credit Card,Standard,17.6,37.65,135.05
ORD0000014,CUST000005,2025-04-14,Returned,UPI,Express,852.03,0.0,5712.97
ORD0000015,CUST000005,2025-08-23,Returned,UPI,Standard,49.51,40.6,356.09
ORD0000016,CUST000005,2025-09-29,Delivered,EMI,Standard,2345.14,55.47,29075.33
ORD0000017,CUST000005,2025-12-14,Delivered,COD,Express,1061.73,105.65,4478.92
ORD0000018,CUST000007,2025-08-13,Delivered,UPI,Express,237.74,123.32,1200.58
ORD0000019,CUST000007,2025-08-14,Delivered,EMI,Express,54.68,110.23,530.55
ORD0000020,CUST000007,2025-09-17,Delivered,Wallet,Standard,877.45,60.59,5278.14
ORD0000021,CUST000007,2025-09-28,Delivered,UPI,Express,840.91,0.0,7249.09
ORD0000022,CUST000007,2025-10-12,Delivered,Debit Card,Express,6068.26,118.81,29500.55
ORD0000023,CUST000007,2025-10-14,Delivered,Debit Card,Express,564.46,117.55,1353.09
ORD0000024,CUST000007,2025-10-18,Delivered,Net Banking,Same Day,36.32,180.06,933.74
ORD0000025,CUST000007,2025-11-02,Delivered,Credit Card,Standard,234.23,61.62,867.39
ORD0000026,CUST000007,2025-11-26,Delivered,UPI,Standard,922.37,0.0,2872.63
ORD0000027,CUST000009,2023-10-29,Delivered,UPI,Standard,1041.18,0.0,3288.82
ORD0000028,CUST000009,2024-11-08,Delivered,EMI,Standard,125.76,41.68,530.92
ORD0000029,CUST000009,2025-01-09,Delivered,Debit Card,Standard,51.2,45.39,314.19
